cand_id,facility_type,x,y,height_m,roof_usable_m2,parcel_area_m2,height_source,osm_id,building_type,n_fato,capacity,cost,quality,cell_id
0,ground,404227.3738420745,3379481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,338.0
1,ground,404227.3738420745,3378481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,336.0
2,ground,404227.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,335.0
3,ground,404227.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,334.0
4,ground,404227.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,333.0
5,ground,404227.3738420745,3376481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,332.0
6,ground,404227.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,331.0
7,ground,403727.3738420745,3401481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,329.0
8,ground,403727.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,328.0
9,ground,403727.3738420745,3400481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,327.0
10,ground,411727.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1367.0
11,ground,404227.3738420745,3378981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,337.0
12,ground,404227.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,339.0
13,ground,400727.3738420745,3390481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,85.0
14,ground,404227.3738420745,3380481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,340.0
15,ground,404227.3738420745,3401481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,382.0
16,ground,404227.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,381.0
17,ground,404227.3738420745,3400481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,380.0
18,ground,411727.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1366.0
19,ground,404227.3738420745,3399481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,378.0
20,ground,404227.3738420745,3398981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,377.0
21,ground,404227.3738420745,3398481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,376.0
22,ground,404227.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,375.0
23,ground,404227.3738420745,3397481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,374.0
24,ground,404227.3738420745,3395981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,371.0
25,ground,404227.3738420745,3392481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,364.0
26,ground,411727.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1368.0
27,ground,403727.3738420745,3390981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,308.0
28,ground,403727.3738420745,3378981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,284.0
29,ground,402227.3738420745,3391981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,184.0
30,ground,402227.3738420745,3390981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,182.0
