generation,hypervolume,n_pareto
0,518593083.48531675,155
1,518594076.6627484,200
2,518594076.6627484,200
3,518594076.6627484,200
4,518594076.6627484,200
5,519074300.6606931,200
6,519074300.6606931,200
7,519074300.6606931,200
8,519074300.6606931,200
9,519074300.6606931,200
10,519074300.6606931,200
11,519074300.6606931,200
12,519074300.6606931,200
13,519074300.6606931,200
14,519074300.6606931,200
15,519074300.6606931,200
16,519074300.6606931,200
17,519074300.6606931,200
18,519074300.6606931,200
19,519074300.6606931,200
20,519074300.6606931,200
21,519074300.6606931,200
22,519074300.6606931,200
23,519074769.5845397,200
24,519074769.5845397,200
25,519074769.5845397,200
26,519074769.5845397,200
27,519074769.5845397,200
28,519074769.5845397,200
29,519074769.5845397,200
30,519074769.5845397,200
31,519074769.5845397,200
32,519074769.5845397,200
33,519074769.5845397,200
34,519074769.5845397,200
35,519074769.5845397,200
36,519074769.5845397,200
37,519074769.5845397,200
38,519074769.5845397,200
39,519074769.5845397,200
40,519074769.5845397,200
41,519074769.5845397,200
42,519074769.5845397,200
43,519076672.7875647,200
44,519076672.7875647,200
45,519076672.7875647,200
46,519076672.7875647,200
47,519076672.7875647,200
48,519076672.7875647,200
49,519076672.7875647,200
50,519076672.7875647,200
51,519076672.7875647,200
52,519076672.7875647,200
53,519076672.7875647,200
54,519076672.7875647,200
55,519076680.4509126,200
56,519076680.4509126,200
57,519076680.45091254,200
58,519077517.1273227,200
59,519077517.12732273,200
60,519077517.1273226,200
61,519077517.1273227,200
62,519077517.1273227,200
63,519077517.1273227,200
64,519077517.12732273,200
65,519077517.1273227,200
66,519077517.1273227,200
67,519077517.12732273,200
68,519077517.1273226,200
69,519077517.12732273,200
70,519077517.1273227,200
71,519077517.1273227,200
72,519077517.1273226,200
73,519077517.1273226,200
74,519077517.1273227,200
75,519077517.1273227,200
76,519077517.1273227,200
77,519077517.1273227,200
78,519077517.12732273,200
79,519077517.1273227,200
80,519077517.1273226,200
81,519077871.2826315,200
82,519077871.2826315,200
83,519077871.2826315,200
84,519077871.2826315,200
85,519077871.2826315,200
86,519077871.2826315,200
87,519077871.2826315,200
88,519077871.2826316,200
89,519077871.28263146,200
90,519077871.28263146,200
91,519077871.2826315,200
92,519077871.2826315,200
93,519078027.0967991,200
94,519078027.096799,200
95,519078027.096799,200
96,519078027.09679914,200
97,519078027.0967991,200
98,519078027.0967991,200
99,519078041.091537,200
100,519078041.09153706,200
101,519078041.09153706,200
102,519078041.091537,200
103,519078041.091537,200
104,519078041.09153706,200
105,519078041.09153706,200
106,519078777.01553947,200
107,519078777.01553947,200
108,519078777.01553947,200
109,519078777.01553947,200
110,519078777.01553947,200
111,519078986.6273465,200
112,519080015.2142313,200
113,519080015.2142313,200
114,519080015.2142313,200
115,519080015.2142313,200
116,519080015.2142313,200
117,519080015.2142313,200
118,519080015.2142313,200
119,519080015.2142313,200
120,519080015.2142313,200
121,519080015.2142313,200
122,519080015.21423125,200
123,519080015.2142313,200
124,519080015.2142313,200
125,519080015.21423125,200
126,519080015.2142313,200
127,519080015.2142313,200
128,519080015.2142313,200
129,519080015.2142313,200
130,519080015.2142313,200
131,519080015.2142313,200
132,519080015.2142313,200
133,519080015.2142313,200
134,519080015.2142313,200
135,519080015.2142313,200
136,519080015.2142313,200
137,519080015.2142313,200
138,519080015.2142313,200
139,519080015.2142313,200
140,519089552.1992355,200
141,519089552.1992355,200
142,519089552.1992354,200
143,519089641.70750844,200
144,519089641.70750844,200
145,519089641.7075085,200
146,519089641.70750844,200
147,519094124.3351852,200
148,519094124.3351852,200
149,519094124.3351851,200
150,519094124.3351851,200
151,519094326.99096775,200
152,519094326.9909678,200
153,519094326.9909678,200
154,519094326.99096787,200
155,519094326.99096775,200
156,519094685.7009531,200
157,519094685.70095307,200
158,519094685.7009531,200
159,519094685.70095307,200
160,519094987.2319377,200
161,519094987.23193777,200
162,519094987.23193777,200
163,519094987.23193777,200
164,519094987.2319377,200
165,519094987.2319377,200
166,519094987.2319378,200
167,519094987.2319377,200
168,519094987.2319377,200
169,519094987.2319377,200
170,519094987.2319377,200
171,519094987.2319377,200
172,519094987.2319378,200
173,519095117.09082675,200
174,519095117.0908268,200
175,519095117.09082675,200
176,519095117.0908268,200
177,519095117.09082675,200
178,519095117.0908268,200
179,519095117.0908268,200
180,519095117.0908268,200
181,519095117.0908268,200
182,519095117.09082687,200
183,519095117.0908268,200
184,519095117.0908268,200
185,519095117.0908268,200
186,519095976.260738,200
187,519095976.26073784,200
188,519095976.2607379,200
189,519095976.26073796,200
190,519095976.26073796,200
191,519095976.26073796,200
192,519095976.26073796,200
193,519095976.26073784,200
194,519095976.2607379,200
195,519095976.26073796,200
196,519095976.26073796,200
197,519095976.26073796,200
198,519095976.2607379,200
199,519095976.2607379,200
200,519097102.81755525,200
201,519097102.8175553,200
202,519097643.0131114,200
203,519097643.0131115,200
204,519097643.0131114,200
205,519097643.0131115,200
206,519097643.01311153,200
207,519097643.0131115,200
208,519097836.6154935,200
209,519099838.6218911,200
210,519099838.6218911,200
211,519101250.1724185,200
212,519101250.17241853,200
213,519101250.17241853,200
214,519101250.1724185,200
215,519101250.17241853,200
216,519101250.17241853,200
217,519102334.78781325,200
218,519102334.78781325,200
219,519102334.78781325,200
220,519102334.7878132,200
221,519102334.7878132,200
222,519102334.7878132,200
223,519102334.78781325,200
224,519102334.78781325,200
225,519102334.78781325,200
226,519102334.78781325,200
227,519102334.78781325,200
228,519102334.78781325,200
229,519102801.87143403,200
230,519102801.87143403,200
231,519102801.87143403,200
232,519102801.87143403,200
233,519102821.9062518,200
234,519103330.91823775,200
235,519103310.88342,200
236,519103593.9006286,200
237,519103593.9006286,200
238,519103593.9006286,200
239,519225326.15954,200
240,519225672.93564683,200
241,519265399.65819633,200
242,519265399.6581963,200
243,519265399.6581963,200
244,519265399.6581964,200
245,519265399.6581963,200
246,519431585.77414715,200
247,519431585.77414715,200
248,519431585.7741471,200
249,519431585.77414715,200
250,519431585.77414715,200
251,519431585.77414715,200
252,519431585.7741471,200
253,519431585.77414703,200
254,519431585.7741471,200
255,519952814.0194689,200
256,519952814.0194689,200
257,520326702.6393002,200
258,520326827.85989136,200
259,520448165.58824223,200
260,520448165.5882422,200
261,520448165.58824223,200
262,520448165.58824223,200
263,520721481.99731445,200
264,520721481.9973146,200
265,520838538.41890115,200
266,520838538.418901,200
267,520838538.41890115,200
268,520838538.4189011,200
269,520838538.4189011,200
270,520838538.4189011,200
271,520838538.418901,200
272,520838538.418901,200
273,520838538.4189011,200
274,520838538.4189011,200
275,520838563.2902561,200
276,520838563.2902561,200
277,520838563.2902561,200
278,520988870.1568911,200
279,520988870.1568911,200
280,520988870.1568911,200
281,520988870.1568911,200
282,521031161.65928406,200
283,521031186.5306391,200
284,521031186.5306391,200
285,521031186.53063905,200
286,521031186.5306391,200
287,521070280.8699222,200
288,521070280.8699222,200
289,521070280.8699223,200
290,521095648.95247626,200
291,521287544.5268652,200
292,521287544.5268651,200
293,521287544.5268652,200
294,521287544.5268651,200
295,521625878.3350895,200
296,521625878.3350895,200
297,521625878.3350895,200
298,521869671.51599395,200
299,521869671.5159939,200
