cell_id,row,col,centroid_x,centroid_y,geometry
0,53,0,398227.3738420745,3392981.7927185036,"POLYGON ((398477.3738420745 3392731.7927185036, 398477.3738420745 3393231.7927185036, 397977.3738420745 3393231.7927185036, 397977.3738420745 3392731.7927185036, 398477.3738420745 3392731.7927185036))"
1,54,0,398227.3738420745,3393481.7927185036,"POLYGON ((398477.3738420745 3393231.7927185036, 398477.3738420745 3393731.7927185036, 397977.3738420745 3393731.7927185036, 397977.3738420745 3393231.7927185036, 398477.3738420745 3393231.7927185036))"
2,55,0,398227.3738420745,3393981.7927185036,"POLYGON ((398477.3738420745 3393731.7927185036, 398477.3738420745 3394231.7927185036, 397977.3738420745 3394231.7927185036, 397977.3738420745 3393731.7927185036, 398477.3738420745 3393731.7927185036))"
3,56,0,398227.3738420745,3394481.7927185036,"POLYGON ((398477.3738420745 3394231.7927185036, 398477.3738420745 3394731.7927185036, 397977.3738420745 3394731.7927185036, 397977.3738420745 3394231.7927185036, 398477.3738420745 3394231.7927185036))"
4,51,1,398727.3738420745,3391981.7927185036,"POLYGON ((398977.3738420745 3391731.7927185036, 398977.3738420745 3392231.7927185036, 398477.3738420745 3392231.7927185036, 398477.3738420745 3391731.7927185036, 398977.3738420745 3391731.7927185036))"
5,52,1,398727.3738420745,3392481.7927185036,"POLYGON ((398977.3738420745 3392231.7927185036, 398977.3738420745 3392731.7927185036, 398477.3738420745 3392731.7927185036, 398477.3738420745 3392231.7927185036, 398977.3738420745 3392231.7927185036))"
6,53,1,398727.3738420745,3392981.7927185036,"POLYGON ((398977.3738420745 3392731.7927185036, 398977.3738420745 3393231.7927185036, 398477.3738420745 3393231.7927185036, 398477.3738420745 3392731.7927185036, 398977.3738420745 3392731.7927185036))"
7,54,1,398727.3738420745,3393481.7927185036,"POLYGON ((398977.3738420745 3393231.7927185036, 398977.3738420745 3393731.7927185036, 398477.3738420745 3393731.7927185036, 398477.3738420745 3393231.7927185036, 398977.3738420745 3393231.7927185036))"
8,55,1,398727.3738420745,3393981.7927185036,"POLYGON ((398977.3738420745 3393731.7927185036, 398977.3738420745 3394231.7927185036, 398477.3738420745 3394231.7927185036, 398477.3738420745 3393731.7927185036, 398977.3738420745 3393731.7927185036))"
9,56,1,398727.3738420745,3394481.7927185036,"POLYGON ((398977.3738420745 3394231.7927185036, 398977.3738420745 3394731.7927185036, 398477.3738420745 3394731.7927185036, 398477.3738420745 3394231.7927185036, 398977.3738420745 3394231.7927185036))"
10,57,1,398727.3738420745,3394981.7927185036,"POLYGON ((398977.3738420745 3394731.7927185036, 398977.3738420745 3395231.7927185036, 398477.3738420745 3395231.7927185036, 398477.3738420745 3394731.7927185036, 398977.3738420745 3394731.7927185036))"
11,58,1,398727.3738420745,3395481.7927185036,"POLYGON ((398977.3738420745 3395231.7927185036, 398977.3738420745 3395731.7927185036, 398477.3738420745 3395731.7927185036, 398477.3738420745 3395231.7927185036, 398977.3738420745 3395231.7927185036))"
12,59,1,398727.3738420745,3395981.7927185036,"POLYGON ((398977.3738420745 3395731.7927185036, 398977.3738420745 3396231.7927185036, 398477.3738420745 3396231.7927185036, 398477.3738420745 3395731.7927185036, 398977.3738420745 3395731.7927185036))"
