name,status,n_sites,objective,solve_time_s
set_covering,Optimal,10,10.0,2.2501699924468994
p_median_p10,Feasible,10,411078.4385636111,1398.8984565734863
p_center_p10,Optimal,10,14.384200096130371,33.199477195739746
max_coverage_p10,Feasible,10,49613.035722985886,114.44533205032349
p_median_p11,Feasible,11,413312.1055885729,1423.8819916248322
p_center_p11,Optimal,11,13.613801002502441,8.153572797775269
max_coverage_p11,Feasible,11,49934.206644580365,110.62741351127625
p_median_p20,Optimal,20,373830.5796487186,426.1357088088989
p_center_p20,Optimal,11,13.613801002502441,7.422538995742798
max_coverage_p20,Optimal,20,50338.914889649765,26.59644842147827
p_median_p30,Feasible,30,343854.3194335646,750.2980616092682
p_center_p30,Optimal,11,13.613801002502441,7.6643993854522705
max_coverage_p30,Optimal,24,50338.914889649765,26.571630239486694
