label,n_sites,n_rooftop,n_ground,total_cost_cny,mean_cost_per_site_cny,demand_covered,demand_coverage_pct,population_covered,population_coverage_pct,mean_access_time_min,median_access_time_min,p95_access_time_min,max_access_time_min,pct_within_10min,pct_within_15min,n_groups,n_groups_unserved,groups_all_served,worst_group_access_time_min,best_group_access_time_min,group_gap_min,worst_group_access_time_served_min,group_gap_served_min,equity_gini,group_0_access_time_min,group_1_access_time_min,group_2_access_time_min,group_3_access_time_min,group_4_access_time_min,income_quintile_gap_min,income_quintile_gini
Baseline:max_coverage_p30,24,7,17,1227145517.2947843,51131063.22061601,50338.9148896497,100.0,7712263.157209303,100.0,9.181342124938965,9.118823051452637,13.800000190734863,15.0,56.40053021217525,100.0,5,0,True,10.442707626816786,8.376813559154822,2.0658940676619633,10.442707626816786,2.0658940676619633,0.04711328137952387,9.314031655781253,10.442707626816786,10.217125418203283,8.795845011179052,8.376813559154822,1.198974609375,0.024261890323508502
Baseline:max_coverage_p20,20,7,13,993992550.986888,49699627.549344406,50338.9148896497,100.0,7712263.157209303,100.0,9.449914932250977,9.462198257446289,13.790487575531005,15.0,48.82707905052538,100.0,5,0,True,10.821614224632876,8.945504803998599,1.8761094206342772,10.821614224632876,1.8761094206342772,0.03924774564199662,10.074286294922974,10.821614224632876,9.343874181472637,9.0897863703709,8.945504803998599,1.011007308959961,0.02439447344871851
NSGA-II:best_unserved_demand,370,66,304,19727593133.546448,53317819.279855266,50333.62474078103,99.98949093582914,7711326.018348601,99.987848717794,5.333069324493408,4.697056293487549,11.65332317352295,15.0,89.6423896355478,99.987848717794,5,0,True,6.392387249575284,5.170903767196291,1.2214834823789928,6.392387249575284,1.2214834823789928,0.03895403579874478,5.6444562251525054,6.392387249575284,6.029087577208119,5.170903767196291,6.053977654583083,0.9738268852233887,0.030730040729852432
NSGA-II:best_total_access_time,328,62,266,17489877128.010033,53322796.12198181,50332.55407389003,99.9873640189233,7711136.351937439,99.98538943434768,5.360116004943848,4.697056293487549,11.485280990600586,14.891667366027832,91.66331799781706,99.98538943434768,5,0,True,5.905288493770649,5.43425566015097,0.4710328336196792,5.905288493770649,0.4710328336196792,0.017861889072867124,5.559276200536412,5.905288493770649,5.76333068648627,5.43425566015097,5.892301701868422,0.7620368003845215,0.028298933613182597
NSGA-II:best_inequity,328,62,266,17489877128.010033,53322796.12198181,50332.55407389003,99.9873640189233,7711136.351937439,99.98538943434768,5.360116004943848,4.697056293487549,11.485280990600586,14.891667366027832,91.66331799781706,99.98538943434768,5,0,True,5.905288493770649,5.43425566015097,0.4710328336196792,5.905288493770649,0.4710328336196792,0.017861889072867124,5.559276200536412,5.905288493770649,5.76333068648627,5.43425566015097,5.892301701868422,0.7620368003845215,0.028298933613182597
NSGA-II:TOPSIS,56,21,35,2738038702.5126214,48893548.259153955,50267.89618826721,99.85891888703169,7699682.342083972,99.83687259019979,7.484281063079834,7.079376697540283,12.680545806884766,15.0,83.24311352608687,99.83687259019979,5,0,True,7.674350091753717,6.821580221162894,0.8527698705908229,7.674350091753717,0.8527698705908229,0.022918821559854773,7.200453723226436,7.674350091753717,6.821580221162894,7.492461700660995,7.602977034434324,0.7277874946594238,0.01692616926849713
NSGA-II:knee,16,8,8,673916654.652159,42119790.915759936,50035.5862070514,99.39742705367559,7662369.95824426,99.35306669458753,9.711845397949219,9.920636177062988,13.903303146362305,15.0,52.56315419778691,99.35306669458753,5,0,True,10.040569980220697,8.862619936407038,1.1779500438136594,10.040569980220697,1.1779500438136594,0.023587117543856107,9.648408899244835,10.040569980220697,9.210914417142975,9.609015984750918,8.862619936407038,1.0909233093261719,0.023069388172251796
Baseline:max_coverage_p11,11,5,6,488040859.13131446,44367350.8301195,49934.20664458033,99.19603303734982,7643144.069177609,99.10377684704544,10.067465782165527,10.299315452575684,14.064434051513667,15.0,44.0011333279974,99.10377684704544,5,0,True,10.497697668881692,9.765965119808008,0.7317325490736835,10.497697668881692,0.7317325490736835,0.014489995714666287,10.132136764388967,10.497697668881692,10.242920917651151,9.876473649962596,9.765965119808008,0.29746532440185547,0.006029163141825221
Baseline:p_median_p30,30,10,20,1515771773.7851365,50525725.79283788,49926.29794445197,99.1803221302997,7643866.058076454,99.11313841684834,7.9842729568481445,7.546765327453613,13.322790145874023,15.0,89.39207934829295,99.11313841684834,5,0,True,8.010834847245063,5.741844184790975,2.2689906624540876,8.010834847245063,2.2689906624540876,0.05527793877042905,6.8767488567575645,6.699221200990432,5.741844184790975,8.010834847245063,6.793527572836892,2.887650489807129,0.07213429569612768
Baseline:p_median_p20,20,8,12,1009244976.673085,50462248.83365425,49664.45091732189,98.66015393099686,7597527.012341004,98.51228955068726,8.653665542602539,8.366562843322754,13.800000190734863,15.0,84.95663268586858,98.51228955068726,5,0,True,8.611796017399953,6.867561836964483,1.7442341804354706,8.611796017399953,1.7442341804354706,0.0400383850765342,7.4978350602113775,7.431213849959987,6.867561836964483,8.611796017399953,7.2198653039734,2.97334623336792,0.06778464416839987
