cell_id,centroid_x,centroid_y,population_source,population,income,poi_count,poi_density,income_source,cluster,monthly_income_cny,vot_cny_per_h,p_evtol,trip_rate,demand
0,398227.3738420745,3392981.7927185036,zonal_sum,284.00157465040684,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.6023368841775956
1,398227.3738420745,3393481.7927185036,zonal_sum,1000.653959274292,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.645689638225556
2,398227.3738420745,3393981.7927185036,zonal_sum,1094.5026082992554,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,6.175183716024399
3,398227.3738420745,3394481.7927185036,zonal_sum,779.7229537963867,1.0986122886681098,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,4.658064925979614
4,398727.3738420745,3391981.7927185036,zonal_sum,714.5042433738708,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.0312329411153796
5,398727.3738420745,3392481.7927185036,zonal_sum,446.9756159186363,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.521836425012946
6,398727.3738420745,3392981.7927185036,zonal_sum,1199.5315046310425,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,6.767756749128342
7,398727.3738420745,3393481.7927185036,zonal_sum,1721.842206954956,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,10.286285344348908
8,398727.3738420745,3393981.7927185036,zonal_sum,2019.1890258789062,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,11.39226448400879
9,398727.3738420745,3394481.7927185036,zonal_sum,1768.4888820648193,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.977814272609711
10,398727.3738420745,3394981.7927185036,zonal_sum,1355.9545469284058,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,7.650295553770066
11,398727.3738420745,3395481.7927185036,zonal_sum,547.4461262226105,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,3.0886910441479682
12,398727.3738420745,3395981.7927185036,zonal_sum,207.16023522615433,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.1687980471459627
13,398727.3738420745,3396481.7927185036,zonal_sum,2306.7740852832794,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,13.014819389168263
14,398727.3738420745,3396981.7927185036,zonal_sum,2567.421957015991,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,14.485394681484223
15,398727.3738420745,3397481.7927185036,zonal_sum,937.1388607025146,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.287337452083588
16,399227.3738420745,3390981.7927185036,zonal_sum,521.997437953949,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.94510954493618
17,399227.3738420745,3391481.7927185036,zonal_sum,1600.3763575553894,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.029323409327507
18,399227.3738420745,3391981.7927185036,zonal_sum,819.3383224010468,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.622706814986706
19,399227.3738420745,3392481.7927185036,zonal_sum,1035.2049523293972,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.8406263410424595
20,399227.3738420745,3392981.7927185036,zonal_sum,717.298900604248,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,4.285143632209778
21,399227.3738420745,3393481.7927185036,zonal_sum,1033.6362104415894,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.831775499311448
22,399227.3738420745,3393981.7927185036,zonal_sum,2900.9631786346436,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,16.367234253856658
23,399227.3738420745,3394481.7927185036,zonal_sum,1601.1118545532227,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.033473083389282
24,399227.3738420745,3394981.7927185036,zonal_sum,2750.386239051819,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,15.517679160730363
25,399227.3738420745,3395481.7927185036,zonal_sum,2668.6668090820312,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,15.056618136840822
26,399227.3738420745,3395981.7927185036,zonal_sum,1263.0032580792904,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,7.125864382083357
27,399227.3738420745,3396481.7927185036,zonal_sum,135.49177554249763,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.7644445976107717
28,399227.3738420745,3396981.7927185036,zonal_sum,101.95801210403442,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.5752471042909623
29,399227.3738420745,3397481.7927185036,zonal_sum,385.46029138565063,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.174766963997841
30,399227.3738420745,3397981.7927185036,zonal_sum,1153.1158292889595,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,6.5058795088483095
31,399227.3738420745,3398481.7927185036,zonal_sum,835.9625153541565,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.716500511628151
32,399227.3738420745,3398981.7927185036,zonal_sum,774.0341553688049,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.367100704590798
33,399227.3738420745,3399481.7927185036,zonal_sum,865.0140750408173,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.880409411380291
34,399727.3738420745,3389481.7927185036,zonal_sum,1222.425761282444,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,6.8969261451555495
35,399727.3738420745,3389981.7927185036,zonal_sum,2353.061347723007,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,13.275972123853208
36,399727.3738420745,3390481.7927185036,zonal_sum,1956.8659782409668,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,11.040637849235535
37,399727.3738420745,3390981.7927185036,zonal_sum,2100.463050842285,2.1972245773362196,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,12.548166265731812
38,399727.3738420745,3391481.7927185036,zonal_sum,2814.441963195801,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,15.879081556350709
39,399727.3738420745,3391981.7927185036,zonal_sum,1311.6268682479858,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,7.4001987906551365
40,399727.3738420745,3392481.7927185036,zonal_sum,802.4087252616882,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.527190027926445
41,399727.3738420745,3392981.7927185036,zonal_sum,1007.3811120986938,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.683644234460831
42,399727.3738420745,3393481.7927185036,zonal_sum,2035.083080291748,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,11.481938739006043
43,399727.3738420745,3393981.7927185036,zonal_sum,5552.180358886719,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,31.32540158483887
44,399727.3738420745,3394481.7927185036,zonal_sum,4431.637664794922,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,25.00329970477295
45,399727.3738420745,3394981.7927185036,zonal_sum,4897.2923412323,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,29.25642444652176
46,399727.3738420745,3395481.7927185036,zonal_sum,5046.68155670166,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,28.47337734291077
47,399727.3738420745,3395981.7927185036,zonal_sum,2463.671272277832,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,13.900033318191529
48,399727.3738420745,3396481.7927185036,zonal_sum,2424.5120244026184,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,13.679096841679574
49,399727.3738420745,3396981.7927185036,zonal_sum,1650.3382387161255,2.70805020110221,5,20.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,10.369075153853418
50,399727.3738420745,3397481.7927185036,zonal_sum,197.4686568081379,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.1141181617115141
51,399727.3738420745,3397981.7927185036,zonal_sum,129.8895497173071,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.7328368395050466
52,399727.3738420745,3398481.7927185036,zonal_sum,293.57816821336746,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.6563680250598194
53,399727.3738420745,3398981.7927185036,zonal_sum,562.0099205970764,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,3.170859972008705
54,399727.3738420745,3399481.7927185036,zonal_sum,556.5334753990173,2.3978952727983707,1,4.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,3.4966998259320263
55,400227.3738420745,3388481.7927185036,zonal_sum,1550.7518734931946,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,8.749342070248604
56,400227.3738420745,3388981.7927185036,zonal_sum,1466.11342471838,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,8.2718119422611
57,400227.3738420745,3389481.7927185036,zonal_sum,1638.0567302703857,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.241916072185516
58,400227.3738420745,3389981.7927185036,zonal_sum,2238.5561685562134,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,12.629933902994157
59,400227.3738420745,3390481.7927185036,zonal_sum,2915.199020385742,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,16.44755287301636
60,400227.3738420745,3390981.7927185036,zonal_sum,3217.186752319336,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,18.151367656585695
61,400227.3738420745,3391481.7927185036,zonal_sum,2368.6259145736694,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,13.363787410024644
