name,status,n_sites,objective,solve_time_s
set_covering,Optimal,10,10.0,8.500439167022705
p_median_p10,Optimal,10,249001.58450090047,340.57017374038696
p_center_p10,Optimal,10,14.880016319511924,18.478854417800903
max_coverage_p10,Optimal,10,48001.080156708325,313.7034866809845
p_median_p11,Optimal,11,256697.133844923,378.45372009277344
p_center_p11,Optimal,11,14.17242206793162,17.808507204055786
max_coverage_p11,Optimal,11,48316.79713986259,305.7113242149353
p_median_p20,Optimal,20,17673.723935796355,373.2552433013916
p_center_p20,Optimal,12,13.614188080537133,6.026350498199463
max_coverage_p20,Optimal,20,48719.67410185084,3.454542636871338
p_median_p30,Optimal,30,22114.28187281976,467.2737238407135
p_center_p30,Optimal,12,13.614188080537133,4.627139091491699
max_coverage_p30,Optimal,24,48719.67410185084,3.87532901763916
