label,n_sites,n_rooftop,n_ground,total_cost_cny,mean_cost_per_site_cny,demand_covered,demand_coverage_pct,population_covered,population_coverage_pct,mean_access_time_min,median_access_time_min,p95_access_time_min,max_access_time_min,pct_within_10min,pct_within_15min,worst_group_access_time_min,best_group_access_time_min,group_gap_min,equity_gini,group_0_access_time_min,group_1_access_time_min,group_2_access_time_min,group_3_access_time_min,group_4_access_time_min,group_5_access_time_min,group_6_access_time_min,income_quintile_gap_min,income_quintile_gini
Baseline:max_coverage_p30,24,8,16,1274610014.969402,53108750.62372509,48719.67410185081,100.0,7712263.157209303,100.0,8.942116737365723,9.0,13.25280475616455,15.0,61.02182046504574,100.0,9.738345688132025,8.654963610811263,1.0833820773207616,0.01973595692567947,8.863352397653676,9.01551503417535,9.31394507313749,8.654963610811263,9.738345688132025,9.088602216963274,9.282052074691284,0.6972150802612305,0.017101084307873365
Baseline:max_coverage_p20,20,6,14,1040281988.211172,52014099.410558596,48719.67410185081,100.0,7712263.157209303,100.0,9.206278800964355,9.118823051452637,13.322790145874023,15.0,60.15373107209264,100.0,9.76365597157827,8.805614968468413,0.958041003109857,0.018202704297580963,8.922485459006037,9.01551503417535,9.401063679040021,8.805614968468413,9.76365597157827,9.141466494326355,9.28283334206944,0.5373287200927734,0.01294381196054815
NSGA-II:best_unserved_demand,246,53,193,13283495369.42244,53997948.65618878,48714.38676439872,99.98914742852952,7711326.018348601,99.987848717794,5.782487392425537,5.069931983947754,11.967636966705323,15.0,87.0776377056519,99.987848717794,6.87081938253285,5.701462335238877,1.169357047293973,0.03140910618769205,6.208007359405573,6.636231106883202,6.40740885046091,5.701462335238877,6.87081938253285,6.352101336870761,6.058571154483027,1.0357580184936523,0.03822252657470914
NSGA-II:best_inequity,362,81,281,19165427181.40158,52943169.009396635,48701.52344954602,99.96274471732538,7709046.097247448,99.95828643426348,5.318051338195801,4.697056293487549,11.66514277458191,14.879393577575684,90.08017427267066,99.95828643426348,6.2356123233895,5.328984076155785,0.9066282472337148,0.031167101987678997,6.021806961621313,6.2356123233895,5.776359482577315,5.328984076155785,6.150296365870598,6.02282557331166,5.400691498126875,0.9003190994262695,0.03600397669056449
NSGA-II:best_total_access_time,352,76,276,18829151757.576355,53491908.40220556,48698.28397496687,99.95609550499205,7708471.925928917,99.95084152079481,5.349202632904053,4.697056293487549,11.492467880249016,15.0,91.29630506872223,99.95084152079481,6.253654152196995,5.207182447617372,1.0464717045796226,0.034937524164193025,6.058703830671339,6.253654152196995,5.645796179938196,5.3424089770421626,6.00571281748106,5.81911954486439,5.207182447617372,0.6576652526855469,0.026412450488408786
NSGA-II:TOPSIS,29,9,20,1477923388.4000952,50962875.462072246,48645.11627831024,99.84696567677217,7699476.807977151,99.83420756045908,8.289896965026855,7.947726726531982,13.250044822692871,15.0,76.10932149070148,99.83420756045908,8.604661614851267,7.234046837297307,1.3706147775539597,0.02799710181669556,8.381250814880083,7.234046837297307,8.384673501143583,8.008421575430493,8.604661614851267,8.391572728825198,7.850030970543349,0.3757314682006836,0.010109391414036443
NSGA-II:knee,16,7,9,704917109.6266167,44057319.351663545,48369.99699260543,99.28226714219319,7650848.329399377,99.20367307808323,9.46168327331543,9.462198257446289,13.944742584228516,15.0,60.65232492099147,99.20367307808323,10.964500507271921,8.629485619808591,2.3350148874633305,0.044821511013827385,8.629485619808591,10.964500507271921,8.852364355874444,9.206345555650728,9.86866340917202,8.739456375963515,9.919839194254706,0.5503482818603516,0.01306008191694579
Baseline:max_coverage_p11,11,3,8,549603302.2282482,49963936.566204384,48316.79713986254,99.1730713117127,7641938.968614971,99.08815107626879,10.131216049194336,10.299315452575684,14.06345272064209,15.0,48.104753235167315,99.08815107626879,10.121791292445263,8.591859556932954,1.5299317355123083,0.02577593854163328,10.070523247689241,8.591859556932954,10.048731454918324,9.690563869912554,10.121791292445263,9.977799233699326,9.478098654177787,0.023801803588867188,0.0005223014920802567
Baseline:max_coverage_p10,10,2,8,518871957.60261345,51887195.76026134,48001.0801567083,98.52504361248343,7587817.029100409,98.38638638785861,10.24626350402832,10.589466094970703,14.06345272064209,15.0,44.41261969540319,98.38638638785861,10.621015544381013,8.261470329314234,2.3595452150667793,0.03901567511268927,10.237258797030949,8.261470329314234,10.621015544381013,9.791634930496048,10.25560058208333,10.309201771264307,9.37923163830179,0.2975807189941406,0.006420724695810821
Baseline:p_center_p30,12,4,8,648896453.0723524,54074704.42269603,47692.21954893402,97.89108902746591,7531917.289517598,97.661570099263,9.60842514038086,9.788225173950195,13.983211994171118,15.0,58.831277025416085,97.661570099263,9.675301730519744,7.811742797966533,1.863558932553211,0.03859308412374957,9.675301730519744,7.811742797966533,9.149484124361612,9.31708173323795,8.711515320149669,9.180128886639583,8.159084251462954,1.1122980117797852,0.026475317283624625
Baseline:p_center_p20,12,5,7,617648060.750813,51470671.72923442,47630.6733805822,97.7647618927171,7521353.4475832,97.52459549506369,9.602465629577637,9.756277084350586,14.06345272064209,15.0,58.7710698028238,97.52459549506369,9.684197695581457,7.811742797966533,1.872454897614924,0.03949832249392628,9.684197695581457,7.811742797966533,9.16201916394716,9.306676636451375,8.703572197560954,9.218187125782071,8.088812146911922,1.1025390625,0.02622952307410802
Baseline:p_center_p11,11,4,7,508648222.1957829,46240747.4723439,47593.703561287904,97.68887916161137,7515985.160899477,97.45498834377366,9.811318397521973,9.997142791748047,14.052024126052856,15.0,53.93287974736835,97.45498834377366,9.701705523586748,8.142322032870636,1.5593834907161117,0.02809948158769308,9.487266879010324,8.142322032870636,9.641830674100826,9.383165281739442,9.60652891317091,9.701705523586748,8.90287600652778,0.26650047302246094,0.006078805262843678
IP:cost_priority,11,9,2,348011221.5812531,31637383.78011392,47316.69706586681,97.12030701795949,7466766.355085408,96.81679946444244,9.886563301086426,9.997142791748047,14.188325119018554,15.0,53.84421775267709,96.81679946444244,9.74798848751331,9.015003266521093,0.7329852209922159,0.014133990866681139,9.74798848751331,9.015003266521093,9.556850698058234,9.644171637234976,9.201375343550449,9.515793384027967,9.373730550579829,0.748194694519043,0.017181517154382875
