组,方案,站数,成本(亿元),需求覆盖率%,最差人群(min)
本文方案,整数规划 · 成本优先,11,3.14,96.13,9.83
本文方案,整数规划 · 覆盖优先,10,5.45,96.71,10.1
本文方案,约束情景 · 预算,15,4.99,99.98,9.79
本文方案,约束情景 · 服务标准,28,13.01,99.17,8.29
本文方案,约束情景 · 设施规模,15,7.62,100.0,9.84
本文方案,约束情景 · 公平,13,3.68,98.7,10.07
本文方案,固定 N=10 · 最低成本,10,3.21,95.7,10.04
本文方案,固定 N=10 · 最短接驳（距离最近）,10,4.53,96.21,9.75
本文方案,固定 N=10 · 最大覆盖,10,4.68,98.45,10.36
本文方案,固定 N=10 · 最均衡体验,10,4.99,95.97,10.09
前沿选点,前沿 · 成本最小,11,3.14,96.13,9.83
前沿选点,前沿 · 拐点,16,6.74,99.4,10.04
前沿选点,前沿 · TOPSIS 等权,56,27.38,99.86,7.67
前沿选点,前沿 · 公平最优,328,174.9,99.99,5.91
前沿选点,前沿 · 未服务最小,370,197.28,99.99,6.39
单目标基线,p center p12,11,6.15,96.85,9.81
单目标基线,p center p18,11,6.15,96.85,9.81
单目标基线,p center p25,11,6.15,96.85,9.81
单目标基线,max coverage p8,8,4.52,95.28,10.76
单目标基线,set covering,10,5.01,96.85,10.3
单目标基线,p median p8,8,3.12,87.55,11.12
单目标基线,p median p12,12,6.8,95.76,10.31
单目标基线,max coverage p12,12,6.12,99.78,10.72
单目标基线,p median p18,18,9.56,97.9,8.81
单目标基线,max coverage p18,16,7.94,100.0,9.94
单目标基线,p median p25,25,13.28,99.12,8.16
单目标基线,max coverage p25,24,12.27,100.0,10.44
