encoding,run,seed,hv,front_size,n_evaluations,elapsed_s
mask,0,20240501,1.1344001723850073e+21,100,6000,51.08507061004639
mask,1,20240502,1.1254742731374408e+21,100,5992,48.31606602668762
mask,2,20240503,1.1678569730983606e+21,100,6102,43.21079349517822
mask,3,20240504,1.1043151600776475e+21,100,6147,51.29823088645935
mask,4,20240505,1.128535262067857e+21,100,6361,51.66540002822876
mask,5,20240506,1.1274355389217043e+21,100,6117,53.538552045822144
mask,6,20240507,1.1184282697973736e+21,100,6320,48.087270736694336
mask,7,20240508,1.1228206179877244e+21,100,6119,56.352760314941406
mask,8,20240509,1.1543792381092942e+21,100,6052,54.446688652038574
mask,9,20240510,1.1781759768810026e+21,100,6444,57.66121554374695
integer,0,20240501,1.184795378251078e+21,100,9964,14.75874638557434
integer,1,20240502,1.1745460302135265e+21,100,9951,14.60756516456604
integer,2,20240503,1.1486542181298856e+21,100,9962,14.687706232070923
integer,3,20240504,1.2001772142094626e+21,100,9972,15.131157875061035
integer,4,20240505,1.1886283449729658e+21,100,9955,14.916786909103394
integer,5,20240506,1.1565185447059853e+21,100,9963,14.970466375350952
integer,6,20240507,1.1515290970896199e+21,100,9948,16.816813945770264
integer,7,20240508,1.1740003283611153e+21,100,9936,14.989418029785156
integer,8,20240509,1.1631772916280805e+21,100,9970,15.106714725494385
integer,9,20240510,1.1712479423948934e+21,100,9941,14.728527784347534
