run,n,hypervolume,spacing,spread,igd
0,100,4.700223940411227e+19,0.0458549427141472,0.8844920954259043,0.06444809333466422
1,100,4.542378869178658e+19,0.06424948983366449,0.8293159784421933,0.06644194354420263
2,100,4.4661239995603665e+19,0.05250934638031754,0.940306132601586,0.06489149007630765
3,100,4.628927890236908e+19,0.052534231954859185,0.9668472378797881,0.05951382094661213
4,100,4.598666435890691e+19,0.05537291673415326,0.9557777751668873,0.06746305370318093
5,100,4.598147219081216e+19,0.0554691075457242,0.947543744234954,0.07023297517911407
6,100,4.709767759930723e+19,0.043697188269683766,0.9940325145467801,0.06445414493926882
7,100,4.631031299342641e+19,0.04516637450531075,0.8334611107125608,0.0622919875959226
8,100,4.620292235090223e+19,0.055334568007253004,0.8880645001249396,0.0586514498000892
9,100,4.682898944687486e+19,0.0469697504080537,0.8590827728403819,0.06362992610601942
