run,seed,pareto_size,hypervolume_proxy,hv_initial,n_evaluations,elapsed_s,best_unserved,best_cost,best_inequity
0,1000,100,354413762.6524909,353776253.49990684,6011,45.7,5.290148868669348,470900409.9287453,5.93972640540381
1,1001,100,506812453.6526284,506682905.63773686,6067,47.7,0.0,460970462.8100089,6.0446792713979915
2,1002,100,331515826.92634845,331063755.34188294,6042,50.0,0.0,501478859.0099135,6.170152178390066
3,1003,100,368026877.6940742,366468436.3704236,6087,37.2,5.290148868669348,441026412.3600489,6.139538650145114
4,1004,100,413642959.8160025,413362129.01687026,6023,50.4,0.0,489242974.6664709,5.986637359781015
5,1005,100,320171430.70745826,320164194.24808,6236,51.8,0.0,443561941.8765153,5.969504926937951
6,1006,100,447577931.27807295,443258433.55781436,5994,50.5,0.0,473232971.95369214,6.1011108925111674
7,1007,100,410758275.2501947,410757688.9198708,6048,54.2,0.0,472191978.1417512,5.9075766614090925
8,1008,100,373357081.4023766,373250853.9827566,5941,48.3,0.0,504716154.8006464,6.122190384407967
9,1009,100,295311063.16558677,295315979.7386727,5890,49.9,5.290148868669348,442373813.17111135,5.964520313524636
