scheme,objective,cand_id
最低成本,min_cost,75
最低成本,min_cost,80
最低成本,min_cost,1060
最低成本,min_cost,1200
最低成本,min_cost,1208
最低成本,min_cost,1227
最低成本,min_cost,1243
最低成本,min_cost,1249
最低成本,min_cost,1257
最低成本,min_cost,1297
最短接驳（距离最近）,min_total_time,76
最短接驳（距离最近）,min_total_time,88
最短接驳（距离最近）,min_total_time,171
最短接驳（距离最近）,min_total_time,273
最短接驳（距离最近）,min_total_time,465
最短接驳（距离最近）,min_total_time,585
最短接驳（距离最近）,min_total_time,1208
最短接驳（距离最近）,min_total_time,1243
最短接驳（距离最近）,min_total_time,1249
最短接驳（距离最近）,min_total_time,1255
最大覆盖,max_coverage,75
最大覆盖,max_coverage,80
最大覆盖,max_coverage,279
最大覆盖,max_coverage,705
最大覆盖,max_coverage,838
最大覆盖,max_coverage,841
最大覆盖,max_coverage,1138
最大覆盖,max_coverage,1162
最大覆盖,max_coverage,1243
最大覆盖,max_coverage,1252
最均衡体验,min_worst_case,78
最均衡体验,min_worst_case,88
最均衡体验,min_worst_case,231
最均衡体验,min_worst_case,272
最均衡体验,min_worst_case,313
最均衡体验,min_worst_case,1107
最均衡体验,min_worst_case,1223
最均衡体验,min_worst_case,1243
最均衡体验,min_worst_case,1255
最均衡体验,min_worst_case,1280
