参数,取值,候选数,IP 站数,最小未服务,最差人群(min),成本下界(亿)
屋顶面积阈值 (m²),1400.0,1275,10／10,6,5.97,2.54
屋顶面积阈值 (m²),1600.0,1315,11／10,3,6.0,3.14
屋顶面积阈值 (m²),1800.0,1356,11／9,8,5.94,3.6
屋顶面积阈值 (m²),2000.0,1373,10／9,14,5.91,4.03
屋顶面积阈值 (m²),2200.0,1392,10／9,12,5.94,4.18
屋顶面积阈值 (m²),2500.0,1408,10／9,2,5.88,4.27
屋顶高度阈值 (m),15.0,1262,11／10,2,5.92,3.12
屋顶高度阈值 (m),20.0,1315,11／10,3,6.0,3.14
屋顶高度阈值 (m),25.0,1386,12／9,15,6.07,3.76
屋顶高度阈值 (m),30.0,1448,10／9,7,5.88,3.84
屋顶高度阈值 (m),40.0,1520,10／9,16,5.76,4.42
地面建筑覆盖率上限,0.4,1314,11／10,6,5.99,3.14
地面建筑覆盖率上限,0.5,1315,11／10,3,6.0,3.14
地面建筑覆盖率上限,0.55,1315,11／10,3,6.0,3.14
地面建筑覆盖率上限,0.6,1315,11／10,2,5.98,3.14
地面建筑覆盖率上限,0.7,1315,11／10,2,5.98,3.14
候选最小间距 (m),300.0,1650,11／9,3,5.77,3.12
候选最小间距 (m),400.0,1462,11／10,2,5.86,3.15
候选最小间距 (m),500.0,1315,11／10,3,6.0,3.14
候选最小间距 (m),700.0,572,11／10,1,5.82,3.16
候选最小间距 (m),1000.0,293,无可行解,12,5.79,4.92
机场排除半径 (m),0.0,1865,10／9,0,4.62,2.54
机场排除半径 (m),2000.0,1684,10／9,0,4.61,2.58
机场排除半径 (m),4000.0,1315,11／10,3,6.0,3.14
机场排除半径 (m),6000.0,1002,无可行解,12175,7.9,4.99
机场排除半径 (m),8000.0,809,10／10,25097,8.8,4.49
机场排除半径 (m),12000.0,411,10／10,38100,10.94,5.08
聚类数 K,3,1315,12／10,4,5.89,3.4
聚类数 K,4,1315,12／10,3,5.97,3.27
聚类数 K,5,1315,11／10,3,6.0,3.14
聚类数 K,6,1315,12／10,3,6.07,3.56
聚类数 K,7,1315,12／10,3,6.1,3.56
聚类数 K,8,1315,12／10,3,6.28,3.39
接驳时间预算 (min),8.0,1315,无可行解,1,5.63,24.2
接驳时间预算 (min),10.0,1315,27†,1,5.68,13.91
接驳时间预算 (min),12.0,1315,19／18,1,5.88,6.73
接驳时间预算 (min),15.0,1315,11／10,3,6.0,3.14
接驳时间预算 (min),18.0,1315,11／10,3,6.0,3.14
核心需求分位数,0.3,1315,14／13,0,5.98,4.39
核心需求分位数,0.4,1315,14／12,1,5.98,4.07
核心需求分位数,0.5,1315,14／12,3,5.99,4.01
核心需求分位数,0.6,1315,11／10,3,6.0,3.14
核心需求分位数,0.7,1315,10／9,9,6.01,2.87
核心需求分位数,0.8,1315,9／8,10,6.01,2.68
成本缩放系数,0.5,1315,11／10,3,6.0,1.57
成本缩放系数,0.75,1315,11／10,3,6.0,2.36
成本缩放系数,1.0,1315,11／10,3,6.0,3.14
成本缩放系数,1.25,1315,11／10,3,6.0,3.93
成本缩放系数,1.5,1315,11／10,3,6.0,4.71
出行率比 ρ,1.0,1315,12／10,1,6.01,3.69
出行率比 ρ,2.0,1315,11／10,1,6.0,3.17
出行率比 ρ,3.0,1315,11／10,1,6.0,3.16
出行率比 ρ,5.0,1315,11／10,1,6.0,3.16
出行率比 ρ,8.0,1315,11／10,1,6.0,3.16
出行率比 ρ,10.0,1315,11／10,1,6.0,3.18
公平性度量,group_mean,1315,11／10,3,6.0,3.14
公平性度量,individual_max,1315,11／10,3,14.85,3.14
出行距离结构,fixed15,1315,11／10,3,6.0,3.14
出行距离结构,8.0,1315,12／10,5,6.01,3.41
出行距离结构,12.0,1315,12／10,4,6.0,3.41
出行距离结构,15.0,1315,11／10,4,6.0,3.14
出行距离结构,20.0,1315,11／10,3,6.0,3.17
出行距离结构,30.0,1315,11／10,2,6.01,3.18
收入阶梯中位数 (元/月),3239.2,1315,11／10,3,6.0,3.14
收入阶梯中位数 (元/月),4049.0,1315,11／10,3,6.0,3.14
收入阶梯中位数 (元/月),5061.2,1315,11／10,3,6.0,3.17
收入阶梯中位数 (元/月),6073.5,1315,11／10,3,6.0,3.18
收入离散度 σ,0.45,1315,11／10,3,6.0,3.14
收入离散度 σ,0.6,1315,11／10,3,6.0,3.14
收入离散度 σ,0.75,1315,11／10,3,6.01,3.17
人口来源与量级,1.0,1315,11／10,3,6.0,3.14
人口来源与量级,0.8,1315,11／10,3,6.0,3.14
人口来源与量级,1.2,1315,11／10,4,6.0,3.14
人口来源与量级,0.5,1315,11／10,2,6.0,3.14
人口来源与量级,1.5,1315,11／10,5,6.0,3.14
人口来源与量级,building,1315,12／11,0,5.96,4.07
